B,1,0.5
B,2,1
G,4,0.5
B,0,0.5
G,2,1
V,3,1
B,5,0.1
B,4,0.1
B,3,0.1
B,2,0.1
B,1,0.1
C,0,1
G,2,0.1
G,3,0.5
V,5,1
B,2,0.1
B,3,0.5
B,1,0.1
B,4,0.5
C,0,1
V,2,0.5
G,5,0.5
B,5,0.1
B,4,0.1
B,3,0.1
C,2,1
G,5,2
B,4,2
B,1,0.5
B,2,1
G,4,0.5
B,0,0.5
G,2,1
V,3,1
B,5,0.1
B,4,0.1
B,3,0.1
B,2,0.1
B,1,0.1
C,0,1
G,2,0.1
G,3,0.5
B,2,0.1
B,1,0.1
C,4,1
G,2,0.1
G,3,0.5
V,5,1
B,2,0.1
B,3,0.5
B,1,0.1
B,4,0.5
C,5,1
V,2,0.5
G,5,0.5
B,5,0.1
B,4,0.1
B,3,0.1
C,5,0.3
B,2,1
G,4,0.5
B,0,0.5
G,2,1
V,3,1
B,5,0.1
B,4,0.1
B,3,0.1
B,2,0.1
B,1,0.1
C,0,1
G,2,0.1
G,3,0.5
B,2,0.1
B,1,0.1
C,0,1
G,2,0.1
G,3,0.5
V,5,1
B,2,0.1
B,3,0.5
